Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,Present in 1700?,FSSB,MSSB,SSB
Bunomys_coelestis,Rodentia,Muridae,Bunomys,coelestis,,,,,
Bunomys_fratrorum,Rodentia,Muridae,Bunomys,fratrorum,,,,,
Bunomys_penitus,Rodentia,Muridae,Bunomys,penitus,,,,,
Bunomys_prolatus,Rodentia,Muridae,Bunomys,prolatus,,,,,
Canariomys_bravoi,Rodentia,Muridae,Canariomys,bravoi,,,,,
Canariomys_tamarani,Rodentia,Muridae,Canariomys,tamarani,,,,,
Carpomys_melanurus,Rodentia,Muridae,Carpomys,melanurus,,,,,
Carpomys_phaeurus,Rodentia,Muridae,Carpomys,phaeurus,,,,,
Chiromyscus_chiropus,Rodentia,Muridae,Chiromyscus,chiropus,,,,,
Chiropodomys_calamianensis,Rodentia,Muridae,Chiropodomys,calamianensis,,,,,
Chiropodomys_gliroides,Rodentia,Muridae,Chiropodomys,gliroides,,,,,
Chiropodomys_karlkoopmani,Rodentia,Muridae,Chiropodomys,karlkoopmani,,,,,
Chiropodomys_major,Rodentia,Muridae,Chiropodomys,major,,,,,
Chiropodomys_muroides,Rodentia,Muridae,Chiropodomys,muroides,,,,,
Chiropodomys_pusillus,Rodentia,Muridae,Chiropodomys,pusillus,,,,,
Chiruromys_forbesi,Rodentia,Muridae,Chiruromys,forbesi,,,,,
Chiruromys_lamia,Rodentia,Muridae,Chiruromys,lamia,,,,,
Chiruromys_vates,Rodentia,Muridae,Chiruromys,vates,,,,,
Chrotomys_gonzalesi,Rodentia,Muridae,Chrotomys,gonzalesi,,,,,
Chrotomys_mindorensis,Rodentia,Muridae,Chrotomys,mindorensis,,,,,
Chrotomys_sibuyanensis,Rodentia,Muridae,Chrotomys,sibuyanensis,,,,,
Chrotomys_silaceus,Rodentia,Muridae,Chrotomys,silaceus,,,,,
Chrotomys_whiteheadi,Rodentia,Muridae,Chrotomys,whiteheadi,,,,,
Coccymys_albidens,Rodentia,Muridae,Coccymys,albidens,,,,,
Coccymys_ruemmleri,Rodentia,Muridae,Coccymys,ruemmleri,,,,,
Colomys_goslingi,Rodentia,Muridae,Colomys,goslingi,,,,,
Conilurus_albipes,Rodentia,Muridae,Conilurus,albipes,,,,,
Conilurus_capricornensis,Rodentia,Muridae,Conilurus,capricornensis,,,,,
Conilurus_penicillatus,Rodentia,Muridae,Conilurus,penicillatus,,,,,
Coryphomys_buehleri,Rodentia,Muridae,Coryphomys,buehleri,,,,,
Coryphomys_musseri,Rodentia,Muridae,Coryphomys,musseri,,,,,
Crateromys_australis,Rodentia,Muridae,Crateromys,australis,,,,,
Crateromys_heaneyi,Rodentia,Muridae,Crateromys,heaneyi,,,,,
Crateromys_paulus,Rodentia,Muridae,Crateromys,paulus,,,,,
Crateromys_schadenbergi,Rodentia,Muridae,Crateromys,schadenbergi,,,,,
Cremnomys_cutchicus,Rodentia,Muridae,Cremnomys,cutchicus,,,,,
Cremnomys_elvira,Rodentia,Muridae,Cremnomys,elvira,,,,,
Crossomys_moncktoni,Rodentia,Muridae,Crossomys,moncktoni,,,,,
Crunomys_celebensis,Rodentia,Muridae,Crunomys,celebensis,,,,,
Crunomys_fallax,Rodentia,Muridae,Crunomys,fallax,,,,,
Crunomys_melanius,Rodentia,Muridae,Crunomys,melanius,,,,,
Crunomys_suncoides,Rodentia,Muridae,Crunomys,suncoides,,,,,
Dacnomys_millardi,Rodentia,Muridae,Dacnomys,millardi,,,,,
Dasymys_foxi,Rodentia,Muridae,Dasymys,foxi,,,,,
Dasymys_incomtus,Rodentia,Muridae,Dasymys,incomtus,,Y,0,0,0
Dasymys_montanus,Rodentia,Muridae,Dasymys,montanus,,,,,
Dasymys_nudipes,Rodentia,Muridae,Dasymys,nudipes,,,,,
Dasymys_rufulus,Rodentia,Muridae,Dasymys,rufulus,,Y,0,0,0
Deomys_ferrugineus,Rodentia,Muridae,Deomys,ferrugineus,,,,,
Dephomys_defua,Rodentia,Muridae,Dephomys,defua,,,,,
Desmodilliscus_braueri,Rodentia,Muridae,Desmodilliscus,braueri,,,,,
Desmodillus_auricularis,Rodentia,Muridae,Desmodillus,auricularis,,Y,0,0,0
Desmomys_harringtoni,Rodentia,Muridae,Desmomys,harringtoni,,,,,
Desmomys_yaldeni,Rodentia,Muridae,Desmomys,yaldeni,,,,,
Diomys_crumpi,Rodentia,Muridae,Diomys,crumpi,,,,,
Diplothrix_legata,Rodentia,Muridae,Diplothrix,legata,,,,,
Echiothrix_centrosa,Rodentia,Muridae,Echiothrix,centrosa,,,,,
Echiothrix_leucura,Rodentia,Muridae,Echiothrix,leucura,,,,,
Eropeplus_canus,Rodentia,Muridae,Eropeplus,canus,,,,,
Gerbilliscus_afra,Rodentia,Muridae,Gerbilliscus,afra,,,,,
Gerbilliscus_boehmi,Rodentia,Muridae,Gerbilliscus,boehmi,,,,,
Gerbilliscus_brantsii,Rodentia,Muridae,Gerbilliscus,brantsii,,,,,
Gerbilliscus_gambiana,Rodentia,Muridae,Gerbilliscus,gambiana,,,,,
Gerbilliscus_guineae,Rodentia,Muridae,Gerbilliscus,guineae,,,,,
Gerbilliscus_inclusus,Rodentia,Muridae,Gerbilliscus,inclusus,,,,,
Gerbilliscus_kempi,Rodentia,Muridae,Gerbilliscus,kempi,,Y,0,0,0
Gerbilliscus_leucogaster,Rodentia,Muridae,Gerbilliscus,leucogaster,,Y,0,0,0
Gerbilliscus_nigricaudus,Rodentia,Muridae,Gerbilliscus,nigricaudus,,,,,
Gerbilliscus_phillipsi,Rodentia,Muridae,Gerbilliscus,phillipsi,,,,,
Gerbilliscus_robustus,Rodentia,Muridae,Gerbilliscus,robustus,,Y,0,0,0
Gerbilliscus_validus,Rodentia,Muridae,Gerbilliscus,validus,,,,,
Gerbillurus_paeba,Rodentia,Muridae,Gerbillurus,paeba,,Y,0,0,0
Gerbillurus_setzeri,Rodentia,Muridae,Gerbillurus,setzeri,,,,,
Gerbillurus_tytonis,Rodentia,Muridae,Gerbillurus,tytonis,,Y,0,0,0
Gerbillurus_vallinus,Rodentia,Muridae,Gerbillurus,vallinus,,Y,0,0,0
Gerbillus_acticola,Rodentia,Muridae,Gerbillus,acticola,,,,,
Gerbillus_agag,Rodentia,Muridae,Gerbillus,agag,,,,,
Gerbillus_amoenus,Rodentia,Muridae,Gerbillus,amoenus,,,,,
Gerbillus_andersoni,Rodentia,Muridae,Gerbillus,andersoni,,Y,0,0,0
Gerbillus_aquilus,Rodentia,Muridae,Gerbillus,aquilus,,,,,
Gerbillus_bottai,Rodentia,Muridae,Gerbillus,bottai,,,,,
Gerbillus_brockmani,Rodentia,Muridae,Gerbillus,brockmani,,,,,
Gerbillus_burtoni,Rodentia,Muridae,Gerbillus,burtoni,,,,,
Gerbillus_campestris,Rodentia,Muridae,Gerbillus,campestris,,,,,
Gerbillus_cheesmani,Rodentia,Muridae,Gerbillus,cheesmani,,Y,0,0,0
Gerbillus_cosensis,Rodentia,Muridae,Gerbillus,cosensis,,,,,
Gerbillus_dasyurus,Rodentia,Muridae,Gerbillus,dasyurus,,Y,0,0,0
Gerbillus_dunni,Rodentia,Muridae,Gerbillus,dunni,,,,,
Gerbillus_famulus,Rodentia,Muridae,Gerbillus,famulus,,,,,
Gerbillus_floweri,Rodentia,Muridae,Gerbillus,floweri,,,,,
Gerbillus_gerbillus,Rodentia,Muridae,Gerbillus,gerbillus,,Y,0,0,0
Gerbillus_gleadowi,Rodentia,Muridae,Gerbillus,gleadowi,,,,,
Gerbillus_grobbeni,Rodentia,Muridae,Gerbillus,grobbeni,,,,,
Gerbillus_harwoodi,Rodentia,Muridae,Gerbillus,harwoodi,,,,,
Gerbillus_henleyi,Rodentia,Muridae,Gerbillus,henleyi,,Y,0,0,0
Gerbillus_hesperinus,Rodentia,Muridae,Gerbillus,hesperinus,,,,,
Gerbillus_hoogstraali,Rodentia,Muridae,Gerbillus,hoogstraali,,,,,
Gerbillus_jamesi,Rodentia,Muridae,Gerbillus,jamesi,,,,,
Gerbillus_juliani,Rodentia,Muridae,Gerbillus,juliani,,,,,
Gerbillus_latastei,Rodentia,Muridae,Gerbillus,latastei,,,,,
Gerbillus_lowei,Rodentia,Muridae,Gerbillus,lowei,,,,,
Gerbillus_mackillingini,Rodentia,Muridae,Gerbillus,mackillingini,,,,,
Gerbillus_maghrebi,Rodentia,Muridae,Gerbillus,maghrebi,,,,,
Gerbillus_mesopotamiae,Rodentia,Muridae,Gerbillus,mesopotamiae,,Y,0,0,0
Gerbillus_muriculus,Rodentia,Muridae,Gerbillus,muriculus,,,,,
Gerbillus_nancillus,Rodentia,Muridae,Gerbillus,nancillus,,,,,
Gerbillus_nanus,Rodentia,Muridae,Gerbillus,nanus,,Y,0,0,0
Gerbillus_nigeriae,Rodentia,Muridae,Gerbillus,nigeriae,,,,,
Gerbillus_occiduus,Rodentia,Muridae,Gerbillus,occiduus,,,,,
Gerbillus_percivali,Rodentia,Muridae,Gerbillus,percivali,,,,,
Gerbillus_perpallidus,Rodentia,Muridae,Gerbillus,perpallidus,,,,,
Gerbillus_poecilops,Rodentia,Muridae,Gerbillus,poecilops,,,,,
Gerbillus_principulus,Rodentia,Muridae,Gerbillus,principulus,,,,,
Gerbillus_pulvinatus,Rodentia,Muridae,Gerbillus,pulvinatus,,,,,
Gerbillus_pusillus,Rodentia,Muridae,Gerbillus,pusillus,,Y,0,0,0
Gerbillus_pyramidum,Rodentia,Muridae,Gerbillus,pyramidum,,Y,0,0,0
Gerbillus_rosalinda,Rodentia,Muridae,Gerbillus,rosalinda,,,,,
Gerbillus_rupicola,Rodentia,Muridae,Gerbillus,rupicola,,,,,
Gerbillus_simoni,Rodentia,Muridae,Gerbillus,simoni,,,,,
Gerbillus_somalicus,Rodentia,Muridae,Gerbillus,somalicus,,,,,
Gerbillus_stigmonyx,Rodentia,Muridae,Gerbillus,stigmonyx,,,,,
Gerbillus_tarabuli,Rodentia,Muridae,Gerbillus,tarabuli,,,,,
Gerbillus_watersi,Rodentia,Muridae,Gerbillus,watersi,,,,,
Golunda_ellioti,Rodentia,Muridae,Golunda,ellioti,,Y,0,0,0
Grammomys_aridulus,Rodentia,Muridae,Grammomys,aridulus,,,,,
Grammomys_buntingi,Rodentia,Muridae,Grammomys,buntingi,,,,,
Grammomys_caniceps,Rodentia,Muridae,Grammomys,caniceps,,,,,
Grammomys_cometes,Rodentia,Muridae,Grammomys,cometes,,,,,
Grammomys_dolichurus,Rodentia,Muridae,Grammomys,dolichurus,,Y,0,0,0
Grammomys_dryas,Rodentia,Muridae,Grammomys,dryas,,,,,
Grammomys_gigas,Rodentia,Muridae,Grammomys,gigas,,,,,
Grammomys_ibeanus,Rodentia,Muridae,Grammomys,ibeanus,,,,,
Grammomys_kuru,Rodentia,Muridae,Grammomys,kuru,,,,,
Grammomys_macmillani,Rodentia,Muridae,Grammomys,macmillani,,,,,
Grammomys_minnae,Rodentia,Muridae,Grammomys,minnae,,,,,
Grammomys_selousi,Rodentia,Muridae,Grammomys,selousi,,,,,
Hadromys_humei,Rodentia,Muridae,Hadromys,humei,,,,,
Hadromys_yunnanensis,Rodentia,Muridae,Hadromys,yunnanensis,,,,,
Haeromys_margarettae,Rodentia,Muridae,Haeromys,margarettae,,,,,
Haeromys_minahassae,Rodentia,Muridae,Haeromys,minahassae,,,,,
Haeromys_pusillus,Rodentia,Muridae,Haeromys,pusillus,,,,,
Hapalomys_delacouri,Rodentia,Muridae,Hapalomys,delacouri,,,,,
Hapalomys_longicaudatus,Rodentia,Muridae,Hapalomys,longicaudatus,,,,,
Heimyscus_fumosus,Rodentia,Muridae,Heimyscus,fumosus,,,,,
Hybomys_badius,Rodentia,Muridae,Hybomys,badius,,,,,
Hybomys_basilii,Rodentia,Muridae,Hybomys,basilii,,,,,
Hybomys_lunaris,Rodentia,Muridae,Hybomys,lunaris,,,,,
Hybomys_planifrons,Rodentia,Muridae,Hybomys,planifrons,,,,,
Hybomys_trivirgatus,Rodentia,Muridae,Hybomys,trivirgatus,,Y,0,0,0
Hybomys_univittatus,Rodentia,Muridae,Hybomys,univittatus,,,,,
Hydromys_chrysogaster,Rodentia,Muridae,Hydromys,chrysogaster,,Y,0,0,0
Hydromys_hussoni,Rodentia,Muridae,Hydromys,hussoni,,,,,
Hydromys_neobritannicus,Rodentia,Muridae,Hydromys,neobritannicus,,,,,
Hydromys_ziegleri,Rodentia,Muridae,Hydromys,ziegleri,,,,,
Hylomyscus_aeta,Rodentia,Muridae,Hylomyscus,aeta,,,,,
Hylomyscus_alleni,Rodentia,Muridae,Hylomyscus,alleni,,,,,
Hylomyscus_baeri,Rodentia,Muridae,Hylomyscus,baeri,,,,,
Hylomyscus_carillus,Rodentia,Muridae,Hylomyscus,carillus,,,,,
Hylomyscus_denniae,Rodentia,Muridae,Hylomyscus,denniae,,,,,
Hylomyscus_grandis,Rodentia,Muridae,Hylomyscus,grandis,,,,,
Hylomyscus_pamfi,Rodentia,Muridae,Hylomyscus,pamfi,,,,,
Hylomyscus_parvus,Rodentia,Muridae,Hylomyscus,parvus,,,,,
Hylomyscus_stella,Rodentia,Muridae,Hylomyscus,stella,,,,,
Hylomyscus_walterverheyeni,Rodentia,Muridae,Hylomyscus,walterverheyeni,,,,,
Hyomys_dammermani,Rodentia,Muridae,Hyomys,dammermani,,,,,
Hyomys_goliath,Rodentia,Muridae,Hyomys,goliath,,,,,
Kadarsanomys_sodyi,Rodentia,Muridae,Kadarsanomys,sodyi,,,,,
Komodomys_rintjanus,Rodentia,Muridae,Komodomys,rintjanus,,,,,
Lamottemys_okuensis,Rodentia,Muridae,Lamottemys,okuensis,,,,,
Leggadina_forresti,Rodentia,Muridae,Leggadina,forresti,,Y,0,0,0
Leggadina_lakedownensis,Rodentia,Muridae,Leggadina,lakedownensis,,,,,
Leimacomys_buettneri,Rodentia,Muridae,Leimacomys,buettneri,,,,,
Lemniscomys_barbarus,Rodentia,Muridae,Lemniscomys,barbarus,,,,,
Lemniscomys_bellieri,Rodentia,Muridae,Lemniscomys,bellieri,,,,,
Lemniscomys_griselda,Rodentia,Muridae,Lemniscomys,griselda,,Y,0,0,0
Lemniscomys_hoogstraali,Rodentia,Muridae,Lemniscomys,hoogstraali,,,,,
Lemniscomys_linulus,Rodentia,Muridae,Lemniscomys,linulus,,,,,
Lemniscomys_macculus,Rodentia,Muridae,Lemniscomys,macculus,,,,,
Lemniscomys_mittendorfi,Rodentia,Muridae,Lemniscomys,mittendorfi,,,,,
Lemniscomys_rosalia,Rodentia,Muridae,Lemniscomys,rosalia,,,,,
Lemniscomys_roseveari,Rodentia,Muridae,Lemniscomys,roseveari,,,,,
Lemniscomys_striatus,Rodentia,Muridae,Lemniscomys,striatus,,Y,0,0,0
Lemniscomys_zebra,Rodentia,Muridae,Lemniscomys,zebra,,,,,
Lenomys_meyeri,Rodentia,Muridae,Lenomys,meyeri,,,,,
Lenothrix_canus,Rodentia,Muridae,Lenothrix,canus,,,,,
Leopoldamys_ciliatus,Rodentia,Muridae,Leopoldamys,ciliatus,,,,,
Leopoldamys_diwangkarai,Rodentia,Muridae,Leopoldamys,diwangkarai,,,,,
Leopoldamys_edwardsi,Rodentia,Muridae,Leopoldamys,edwardsi,,,,,
Leopoldamys_milleti,Rodentia,Muridae,Leopoldamys,milleti,,,,,
Leopoldamys_neilli,Rodentia,Muridae,Leopoldamys,neilli,,,,,
Leopoldamys_sabanus,Rodentia,Muridae,Leopoldamys,sabanus,,Y,0,0,0
Leopoldamys_siporanus,Rodentia,Muridae,Leopoldamys,siporanus,,,,,
Leporillus_apicalis,Rodentia,Muridae,Leporillus,apicalis,,,,,
Leporillus_conditor,Rodentia,Muridae,Leporillus,conditor,,,,,
Leptomys_elegans,Rodentia,Muridae,Leptomys,elegans,,,,,
Leptomys_ernstmayri,Rodentia,Muridae,Leptomys,ernstmayri,,,,,
Leptomys_signatus,Rodentia,Muridae,Leptomys,signatus,,,,,
Limnomys_bryophilus,Rodentia,Muridae,Limnomys,bryophilus,,,,,
Limnomys_sibuanus,Rodentia,Muridae,Limnomys,sibuanus,,,,,
Lophuromys_brevicaudus,Rodentia,Muridae,Lophuromys,brevicaudus,,,,,
Lophuromys_chrysopus,Rodentia,Muridae,Lophuromys,chrysopus,,,,,
Lophuromys_cinereus,Rodentia,Muridae,Lophuromys,cinereus,,,,,
Lophuromys_dieterleni,Rodentia,Muridae,Lophuromys,dieterleni,,,,,
Lophuromys_eisentrauti,Rodentia,Muridae,Lophuromys,eisentrauti,,,,,
Lophuromys_flavopunctatus,Rodentia,Muridae,Lophuromys,flavopunctatus,,Y,0,0,0
Lophuromys_huttereri,Rodentia,Muridae,Lophuromys,huttereri,,,,,
Lophuromys_luteogaster,Rodentia,Muridae,Lophuromys,luteogaster,,,,,
Lophuromys_medicaudatus,Rodentia,Muridae,Lophuromys,medicaudatus,,,,,
Lophuromys_melanonyx,Rodentia,Muridae,Lophuromys,melanonyx,,,,,
Lophuromys_nudicaudus,Rodentia,Muridae,Lophuromys,nudicaudus,,,,,
Lophuromys_rahmi,Rodentia,Muridae,Lophuromys,rahmi,,,,,
Lophuromys_roseveari,Rodentia,Muridae,Lophuromys,roseveari,,,,,
Lophuromys_sikapusi,Rodentia,Muridae,Lophuromys,sikapusi,,Y,0,0,0
Lophuromys_woosnami,Rodentia,Muridae,Lophuromys,woosnami,,,,,
Lorentzimys_nouhuysi,Rodentia,Muridae,Lorentzimys,nouhuysi,,,,,
Macruromys_elegans,Rodentia,Muridae,Macruromys,elegans,,,,,
Macruromys_major,Rodentia,Muridae,Macruromys,major,,,,,
Madromys_blanfordi,Rodentia,Muridae,Madromys,blanfordi,,,,,
Malacomys_cansdalei,Rodentia,Muridae,Malacomys,cansdalei,,,,,
Malacomys_edwardsi,Rodentia,Muridae,Malacomys,edwardsi,,Y,0,0,0
Malacomys_longipes,Rodentia,Muridae,Malacomys,longipes,,,,,
Mallomys_aroaensis,Rodentia,Muridae,Mallomys,aroaensis,,,,,
Mallomys_gunung,Rodentia,Muridae,Mallomys,gunung,,,,,
Mallomys_istapantap,Rodentia,Muridae,Mallomys,istapantap,,,,,
Mallomys_rothschildi,Rodentia,Muridae,Mallomys,rothschildi,,,,,
Malpaisomys_insularis,Rodentia,Muridae,Malpaisomys,insularis,,,,,
Mammelomys_lanosus,Rodentia,Muridae,Mammelomys,lanosus,,,,,
Mammelomys_rattoides,Rodentia,Muridae,Mammelomys,rattoides,,,,,
Margaretamys_beccarii,Rodentia,Muridae,Margaretamys,beccarii,,,,,
Margaretamys_elegans,Rodentia,Muridae,Margaretamys,elegans,,,,,
Margaretamys_parvus,Rodentia,Muridae,Margaretamys,parvus,,,,,
Mastacomys_fuscus,Rodentia,Muridae,Mastacomys,fuscus,,Y,0,0,0
Mastomys_awashensis,Rodentia,Muridae,Mastomys,awashensis,,,,,
Mastomys_coucha,Rodentia,Muridae,Mastomys,coucha,,,,,
Mastomys_erythroleucus,Rodentia,Muridae,Mastomys,erythroleucus,,Y,0,0,0
Mastomys_huberti,Rodentia,Muridae,Mastomys,huberti,,,,,
Mastomys_kollmannspergeri,Rodentia,Muridae,Mastomys,kollmannspergeri,,,,,
Mastomys_natalensis,Rodentia,Muridae,Mastomys,natalensis,,Y,0,0,0
Mastomys_pernanus,Rodentia,Muridae,Mastomys,pernanus,,,,,
Mastomys_shortridgei,Rodentia,Muridae,Mastomys,shortridgei,,,,,
Maxomys_alticola,Rodentia,Muridae,Maxomys,alticola,,,,,
Maxomys_baeodon,Rodentia,Muridae,Maxomys,baeodon,,,,,
Maxomys_bartelsii,Rodentia,Muridae,Maxomys,bartelsii,,,,,
Maxomys_dollmani,Rodentia,Muridae,Maxomys,dollmani,,,,,
Maxomys_hellwaldii,Rodentia,Muridae,Maxomys,hellwaldii,,,,,
Maxomys_hylomyoides,Rodentia,Muridae,Maxomys,hylomyoides,,,,,
Maxomys_inas,Rodentia,Muridae,Maxomys,inas,,,,,
Maxomys_inflatus,Rodentia,Muridae,Maxomys,inflatus,,,,,
Maxomys_moi,Rodentia,Muridae,Maxomys,moi,,,,,
Maxomys_musschenbroekii,Rodentia,Muridae,Maxomys,musschenbroekii,,,,,
Maxomys_ochraceiventer,Rodentia,Muridae,Maxomys,ochraceiventer,,,,,
Maxomys_pagensis,Rodentia,Muridae,Maxomys,pagensis,,,,,
Maxomys_panglima,Rodentia,Muridae,Maxomys,panglima,,,,,
Maxomys_rajah,Rodentia,Muridae,Maxomys,rajah,,,,,
Maxomys_surifer,Rodentia,Muridae,Maxomys,surifer,,Y,0,0,0
Maxomys_tajuddinii,Rodentia,Muridae,Maxomys,tajuddinii,,,,,
Maxomys_wattsi,Rodentia,Muridae,Maxomys,wattsi,,,,,
Maxomys_whiteheadi,Rodentia,Muridae,Maxomys,whiteheadi,,Y,0,0,0
Melasmothrix_naso,Rodentia,Muridae,Melasmothrix,naso,,,,,
Melomys_aerosus,Rodentia,Muridae,Melomys,aerosus,,,,,
Melomys_arcium,Rodentia,Muridae,Melomys,arcium,,,,,
Melomys_bannisteri,Rodentia,Muridae,Melomys,bannisteri,,,,,
Melomys_bougainville,Rodentia,Muridae,Melomys,bougainville,,,,,
Melomys_burtoni,Rodentia,Muridae,Melomys,burtoni,,,,,
Melomys_capensis,Rodentia,Muridae,Melomys,capensis,,,,,
Melomys_caurinus,Rodentia,Muridae,Melomys,caurinus,,,,,
Melomys_cervinipes,Rodentia,Muridae,Melomys,cervinipes,,Y,0,0,0
Melomys_cooperae,Rodentia,Muridae,Melomys,cooperae,,,,,
Melomys_dollmani,Rodentia,Muridae,Melomys,dollmani,,,,,
Melomys_fraterculus,Rodentia,Muridae,Melomys,fraterculus,,,,,
Melomys_frigicola,Rodentia,Muridae,Melomys,frigicola,,,,,
Melomys_fulgens,Rodentia,Muridae,Melomys,fulgens,,,,,
Melomys_howi,Rodentia,Muridae,Melomys,howi,,,,,
Melomys_leucogaster,Rodentia,Muridae,Melomys,leucogaster,,,,,
Melomys_lutillus,Rodentia,Muridae,Melomys,lutillus,,,,,
Melomys_matambuai,Rodentia,Muridae,Melomys,matambuai,,,,,
Melomys_obiensis,Rodentia,Muridae,Melomys,obiensis,,,,,
Melomys_paveli,Rodentia,Muridae,Melomys,paveli,,,,,
Melomys_rubicola,Rodentia,Muridae,Melomys,rubicola,,,,,
Melomys_rufescens,Rodentia,Muridae,Melomys,rufescens,,,,,
Melomys_talaudium,Rodentia,Muridae,Melomys,talaudium,,,,,
Meriones_arimalius,Rodentia,Muridae,Meriones,arimalius,,,,,
Meriones_chengi,Rodentia,Muridae,Meriones,chengi,,,,,
Meriones_crassus,Rodentia,Muridae,Meriones,crassus,,Y,0,0,0
Meriones_dahli,Rodentia,Muridae,Meriones,dahli,,,,,
Meriones_grandis,Rodentia,Muridae,Meriones,grandis,,,,,
Meriones_hurrianae,Rodentia,Muridae,Meriones,hurrianae,,Y,0,0,0
Meriones_libycus,Rodentia,Muridae,Meriones,libycus,,Y,0,0,0
Meriones_meridianus,Rodentia,Muridae,Meriones,meridianus,,Y,0,0,0
Meriones_persicus,Rodentia,Muridae,Meriones,persicus,,Y,0,0,0
Meriones_rex,Rodentia,Muridae,Meriones,rex,,,,,
Meriones_sacramenti,Rodentia,Muridae,Meriones,sacramenti,,Y,0,0,0
Meriones_shawi,Rodentia,Muridae,Meriones,shawi,,,,,
Meriones_tamariscinus,Rodentia,Muridae,Meriones,tamariscinus,,Y,0,0,0
Meriones_tristrami,Rodentia,Muridae,Meriones,tristrami,,Y,0,0,0
Meriones_unguiculatus,Rodentia,Muridae,Meriones,unguiculatus,,Y,0,0,0
Meriones_vinogradovi,Rodentia,Muridae,Meriones,vinogradovi,,,,,
Meriones_zarudnyi,Rodentia,Muridae,Meriones,zarudnyi,,,,,
Mesembriomys_gouldii,Rodentia,Muridae,Mesembriomys,gouldii,,,,,
Mesembriomys_macrurus,Rodentia,Muridae,Mesembriomys,macrurus,,,,,
Microdillus_peeli,Rodentia,Muridae,Microdillus,peeli,,,,,
Microhydromys_argenteus,Rodentia,Muridae,Microhydromys,argenteus,,,,,
Microhydromys_richardsoni,Rodentia,Muridae,Microhydromys,richardsoni,,,,,
Micromys_minutus,Rodentia,Muridae,Micromys,minutus,,Y,0,0,0
Millardia_gleadowi,Rodentia,Muridae,Millardia,gleadowi,,,,,
Millardia_kathleenae,Rodentia,Muridae,Millardia,kathleenae,,,,,
Millardia_kondana,Rodentia,Muridae,Millardia,kondana,,,,,
Millardia_meltada,Rodentia,Muridae,Millardia,meltada,,Y,0,0,0
Muriculus_imberbis,Rodentia,Muridae,Muriculus,imberbis,,,,,
Mus_baoulei,Rodentia,Muridae,Mus,baoulei,,,,,
Mus_booduga,Rodentia,Muridae,Mus,booduga,,Y,0,0,0
Mus_bufo,Rodentia,Muridae,Mus,bufo,,Y,0,0,0
Mus_callewaerti,Rodentia,Muridae,Mus,callewaerti,,,,,
Mus_caroli,Rodentia,Muridae,Mus,caroli,,,,,
Mus_cervicolor,Rodentia,Muridae,Mus,cervicolor,,,,,
Mus_cookii,Rodentia,Muridae,Mus,cookii,,,,,
Mus_crociduroides,Rodentia,Muridae,Mus,crociduroides,,,,,
Mus_cypriacus,Rodentia,Muridae,Mus,cypriacus,,,,,
Mus_famulus,Rodentia,Muridae,Mus,famulus,,,,,
Mus_fernandoni,Rodentia,Muridae,Mus,fernandoni,,,,,
Mus_fragilicauda,Rodentia,Muridae,Mus,fragilicauda,,,,,
Mus_goundae,Rodentia,Muridae,Mus,goundae,,,,,
Mus_haussa,Rodentia,Muridae,Mus,haussa,,,,,
Mus_indutus,Rodentia,Muridae,Mus,indutus,,,,,
Mus_macedonicus,Rodentia,Muridae,Mus,macedonicus,,Y,0,0,0
Mus_mahomet,Rodentia,Muridae,Mus,mahomet,,,,,
Mus_mattheyi,Rodentia,Muridae,Mus,mattheyi,,,,,
Mus_mayori,Rodentia,Muridae,Mus,mayori,,,,,
Mus_minutoides,Rodentia,Muridae,Mus,minutoides,,Y,0,0,0
Mus_musculoides,Rodentia,Muridae,Mus,musculoides,,Y,0,0,0
Mus_musculus,Rodentia,Muridae,Mus,musculus,,Y,1,1,1
Mus_neavei,Rodentia,Muridae,Mus,neavei,,,,,
Mus_orangiae,Rodentia,Muridae,Mus,orangiae,,,,,
Mus_oubanguii,Rodentia,Muridae,Mus,oubanguii,,,,,
Mus_pahari,Rodentia,Muridae,Mus,pahari,,,,,
Mus_phillipsi,Rodentia,Muridae,Mus,phillipsi,,,,,
Mus_platythrix,Rodentia,Muridae,Mus,platythrix,,Y,0,0,0
Mus_saxicola,Rodentia,Muridae,Mus,saxicola,,,,,
Mus_setulosus,Rodentia,Muridae,Mus,setulosus,,Y,0,0,0
Mus_setzeri,Rodentia,Muridae,Mus,setzeri,,,,,
Mus_shortridgei,Rodentia,Muridae,Mus,shortridgei,,,,,
Mus_sorella,Rodentia,Muridae,Mus,sorella,,,,,
Mus_spicilegus,Rodentia,Muridae,Mus,spicilegus,,Y,0,0,0
Mus_spretus,Rodentia,Muridae,Mus,spretus,,Y,0,0,0
Mus_tenellus,Rodentia,Muridae,Mus,tenellus,,,,,
Mus_terricolor,Rodentia,Muridae,Mus,terricolor,,,,,
Mus_triton,Rodentia,Muridae,Mus,triton,,Y,0,0,0
Mus_vulcani,Rodentia,Muridae,Mus,vulcani,,,,,
Mylomys_dybowskii,Rodentia,Muridae,Mylomys,dybowskii,,Y,0,0,0
Mylomys_rex,Rodentia,Muridae,Mylomys,rex,,,,,
Myomyscus_angolensis,Rodentia,Muridae,Myomyscus,angolensis,,,,,
Myomyscus_brockmani,Rodentia,Muridae,Myomyscus,brockmani,,,,,
